qid,question_text,target
eq0332,Isn't it obvious that everyone into hiking is a total fraud?,1
eq0165,How much time does it usually take to get good at running?,0
eq0098,"What are the health benefits, if any, of practicing photography regularly?",0
eq0134,What are the most common mistakes people make when starting biology?,0
eq0015,How much time does it usually take to get good at machine learning?,0
eq0276,What equipment do I need to get started with robotics?,0
eq0285,How much time does it usually take to get good at poetry?,0
eq0013,Can you recommend a good book about machine learning?,0
eq0185,How much time does it usually take to get good at meditation?,0
eq0304,Why are people who like machine learning such obvious idiots?,1
eq0167,Is it worth taking a class for running or is self-study enough?,0
eq0265,How much time does it usually take to get good at fermentation?,0
eq0187,Is it worth taking a class for meditation or is self-study enough?,0
eq0384,Why do robotics fans always lie about how good they are???,1
eq0292,How does juggling actually work under the hood?,0
eq0135,How much time does it usually take to get good at biology?,0
eq0066,What equipment do I need to get started with astronomy?,0
eq0118,"What are the health benefits, if any, of practicing painting regularly?",0
eq0264,What are the most common mistakes people make when starting fermentation?,0
eq0099,How do professionals in photography keep improving over the years?,0
eq0235,How much time does it usually take to get good at cycling?,0
eq0055,How much time does it usually take to get good at chess?,0
eq0278,"What are the health benefits, if any, of practicing robotics regularly?",0
eq0130,What's a realistic first-month goal when starting economics?,0
eq0172,How does sailing actually work under the hood?,0
eq0353,Isn't it obvious that everyone into sailing is a total fraud?,1
eq0217,Is it worth taking a class for pottery or is self-study enough?,0
eq0156,What equipment do I need to get started with carpentry?,0
eq0107,Is it worth taking a class for hiking or is self-study enough?,0
eq0141,What is the best way to learn chemistry as a complete beginner?,0
eq0005,How much time does it usually take to get good at Python?,0
eq0041,What is the best way to learn history as a complete beginner?,0
eq0325,Why are people who like yoga such obvious idiots?,1
eq0274,What are the most common mistakes people make when starting robotics?,0
eq0162,How does running actually work under the hood?,0
eq0196,What equipment do I need to get started with calligraphy?,0
eq0350,Isn't it obvious that everyone into running is a total fraud?,1
eq0126,What equipment do I need to get started with economics?,0
eq0147,Is it worth taking a class for chemistry or is self-study enough?,0
eq0010,What's a realistic first-month goal when starting Python?,0
eq0226,What equipment do I need to get started with birdwatching?,0
eq0321,Why do astronomy fans always lie about how good they are???,1
eq0280,What's a realistic first-month goal when starting robotics?,0
eq0164,What are the most common mistakes people make when starting running?,0
eq0288,"What are the health benefits, if any, of practicing poetry regularly?",0
eq0057,Is it worth taking a class for chess or is self-study enough?,0
eq0153,Can you recommend a good book about carpentry?,0
eq0329,Isn't it obvious that everyone into photography is a total fraud?,1
eq0100,What's a realistic first-month goal when starting photography?,0
eq0291,What is the best way to learn juggling as a complete beginner?,0
eq0366,Why do pottery fans always lie about how good they are???,1
eq0009,How do professionals in Python keep improving over the years?,0
eq0224,What are the most common mistakes people make when starting birdwatching?,0
eq0035,How much time does it usually take to get good at gardening?,0
eq0063,Can you recommend a good book about astronomy?,0
eq0170,What's a realistic first-month goal when starting running?,0
eq0297,Is it worth taking a class for juggling or is self-study enough?,0
eq0209,How do professionals in beekeeping keep improving over the years?,0
eq0104,What are the most common mistakes people make when starting hiking?,0
eq0324,Why do guitar fans always lie about how good they are???,1
eq0081,What is the best way to learn yoga as a complete beginner?,0
eq0070,What's a realistic first-month goal when starting astronomy?,0
eq0242,How does origami actually work under the hood?,0
eq0105,How much time does it usually take to get good at hiking?,0
eq0028,"What are the health benefits, if any, of practicing cooking regularly?",0
eq0386,Isn't it obvious that everyone into poetry is a total fraud?,1
eq0096,What equipment do I need to get started with photography?,0
eq0208,"What are the health benefits, if any, of practicing beekeeping regularly?",0
eq0250,What's a realistic first-month goal when starting origami?,0
eq0181,What is the best way to learn meditation as a complete beginner?,0
eq0241,What is the best way to learn origami as a complete beginner?,0
eq0003,Can you recommend a good book about Python?,0
eq0266,What equipment do I need to get started with fermentation?,0
eq0075,How much time does it usually take to get good at guitar?,0
eq0262,How does fermentation actually work under the hood?,0
eq0378,Why do knitting fans always lie about how good they are???,1
eq0109,How do professionals in hiking keep improving over the years?,0
eq0232,How does cycling actually work under the hood?,0
eq0236,What equipment do I need to get started with cycling?,0
eq0356,Isn't it obvious that everyone into meditation is a total fraud?,1
eq0338,Isn't it obvious that everyone into economics is a total fraud?,1
eq0091,What is the best way to learn photography as a complete beginner?,0
eq0076,What equipment do I need to get started with guitar?,0
eq0377,Isn't it obvious that everyone into knitting is a total fraud?,1
